"Nom","Espèce","Force","Statut"
"Dark Vador",Humain,oui,Sith
"Obi-Wan Kenobi",Humain,oui,Jedi
"R2-D2",Droïde,non,Astromécano
"Rey",Humain,oui,Jedi
"Han Solo",Humain,non,Contrebandier
"Dark Maul",Zabrak,oui,Sith
"Leia Organa",Humain,oui,Sénatrice
"C-3PO",Droïde,non,Protocole
"Jabba",Hutt,non,Criminel
"Yoda",Yoda,oui,Jedi
"Luke Skywalker",Humain,oui,Jedi
"Chewbacca",Wookie,non,Contrebandier
"BB-8",Droïde,non,Astromécano
"Padmé Amidala",Humain,non,Sénatrice
"Dark Sidious",Humain,oui,Sith
"Jango Fett",Humain,non,Mercenaire